Scene,Name
5.1.8,Combeferre
5.1.9,Enjolras
5.1.9,Valjean
5.3.1,Valjean
5.3.1,Marius
5.3.10,Valjean
5.3.10,Javert
5.3.11,Valjean
5.3.11,Javert
5.3.12,Gillenormand
5.3.12,Marius
5.3.2,Valjean
5.3.2,Marius
5.3.3,Javert
5.3.3,Thenardier
5.3.4,Valjean
5.3.4,Marius
5.3.5,Valjean
5.3.5,Marius
5.3.6,Valjean
5.3.6,Marius
5.3.7,Valjean
5.3.7,Marius
5.3.8,Valjean
5.3.8,Thenardier
5.3.9,Valjean
5.3.9,Javert
5.4.1,Javert
5.5.1,Boulatruelle
5.5.2,Marius
5.5.3,Marius
5.5.3,Gillenormand
5.5.4,Cosette
5.5.4,Marius
5.5.4,Gillenormand
5.5.4,Valjean
5.5.4,Mlle.Gillenormand
5.5.5,Valjean
5.5.6,Gillenormand
5.5.6,Marius
5.5.6,Cosette
5.5.7,Marius
5.5.7,Valjean
5.5.8,Marius
5.5.8,Valjean
5.6.1,Marius
5.6.1,Gillenormand
5.6.1,Cosette
5.6.1,Thenardier
5.6.1,Anzelma
5.6.2,Marius
5.6.2,Cosette
5.6.2,Valjean
5.6.2,Gillenormand
5.6.2,Mlle.Gillenormand
5.6.3,Valjean
5.7.1,Marius
5.7.1,Valjean
5.7.1,Cosette
5.7.2,Marius
5.8.1,Valjean
5.8.1,Cosette
5.8.2,Valjean
5.8.2,Cosette
5.8.3,Valjean
5.8.3,Cosette
5.8.4,Valjean
5.9.1,Marius
5.9.1,Cosette
5.9.2,Valjean
5.9.3,Valjean
5.9.4,Marius
5.9.4,Thenardier
5.9.4,Cosette
5.9.5,Valjean
5.9.5,Cosette
5.9.5,Marius
