source,target,value,groupsource,grouptarget
Brooklyn Nets,Chicago Bulls,11,Brooklyn Nets,Chicago Bulls
Milwaukee Bucks,Detroit Pistons,11,Milwaukee Bucks,Detroit Pistons
Denver Nuggets,Portland Trail Blazers,11,Denver Nuggets,Portland Trail Blazers
Atlanta Hawks,Washington Wizards,11,Atlanta Hawks,Washington Wizards
Boston Celtics,Memphis Grizzlies,11,Boston Celtics,Memphis Grizzlies
Boston Celtics,Los Angeles Clippers,11,Boston Celtics,Los Angeles Clippers
Toronto Raptors,Miami Heat,11,Toronto Raptors,Miami Heat
Los Angeles Clippers,New York Knicks,11,Los Angeles Clippers,New York Knicks
Utah Jazz,Portland Trail Blazers,11,Utah Jazz,Portland Trail Blazers
Los Angeles Clippers,San Antonio Spurs,11,Los Angeles Clippers,San Antonio Spurs
Washington Wizards,Orlando Magic,11,Washington Wizards,Orlando Magic
Washington Wizards,Phoenix Suns,11,Washington Wizards,Phoenix Suns
Milwaukee Bucks,Houston Rockets,11,Milwaukee Bucks,Houston Rockets
Houston Rockets,Portland Trail Blazers,11,Houston Rockets,Portland Trail Blazers
Dallas Mavericks,San Antonio Spurs,10,Dallas Mavericks,San Antonio Spurs
Miami Heat,Memphis Grizzlies,10,Miami Heat,Memphis Grizzlies
Milwaukee Bucks,Minnesota Timberwolves,10,Milwaukee Bucks,Minnesota Timberwolves
Houston Rockets,Oklahoma City Thunder,10,Houston Rockets,Oklahoma City Thunder
Atlanta Hawks,Los Angeles Clippers,10,Atlanta Hawks,Los Angeles Clippers
Philadelphia 76ers,Portland Trail Blazers,10,Philadelphia 76ers,Portland Trail Blazers
Charlotte Bobcats,Minnesota Timberwolves,10,Charlotte Bobcats,Minnesota Timberwolves
Houston Rockets,Toronto Raptors,10,Houston Rockets,Toronto Raptors
Chicago Bulls,Utah Jazz,10,Chicago Bulls,Utah Jazz
Charlotte Bobcats,Atlanta Hawks,10,Charlotte Bobcats,Atlanta Hawks
Chicago Bulls,San Antonio Spurs,10,Chicago Bulls,San Antonio Spurs
Utah Jazz,Denver Nuggets,10,Utah Jazz,Denver Nuggets
Cleveland Cavaliers,Dallas Mavericks,10,Cleveland Cavaliers,Dallas Mavericks
Miami Heat,Minnesota Timberwolves,10,Miami Heat,Minnesota Timberwolves
Portland Trail Blazers,Miami Heat,9,Portland Trail Blazers,Miami Heat
Indiana Pacers,Los Angeles Lakers,9,Indiana Pacers,Los Angeles Lakers
Los Angeles Lakers,Los Angeles Clippers,9,Los Angeles Lakers,Los Angeles Clippers
Charlotte Bobcats,Chicago Bulls,9,Charlotte Bobcats,Chicago Bulls
Minnesota Timberwolves,Indiana Pacers,9,Minnesota Timberwolves,Indiana Pacers
Charlotte Bobcats,Utah Jazz,9,Charlotte Bobcats,Utah Jazz
Los Angeles Clippers,Washington Wizards,9,Los Angeles Clippers,Washington Wizards
Brooklyn Nets,Dallas Mavericks,9,Brooklyn Nets,Dallas Mavericks
Memphis Grizzlies,Miami Heat,9,Memphis Grizzlies,Miami Heat
Orlando Magic,Los Angeles Clippers,9,Orlando Magic,Los Angeles Clippers
Portland Trail Blazers,Los Angeles Lakers,9,Portland Trail Blazers,Los Angeles Lakers
Los Angeles Clippers,Denver Nuggets,9,Los Angeles Clippers,Denver Nuggets
Los Angeles Clippers,Portland Trail Blazers,9,Los Angeles Clippers,Portland Trail Blazers
Sacramento Kings,Memphis Grizzlies,9,Sacramento Kings,Memphis Grizzlies
Brooklyn Nets,Los Angeles Clippers,9,Brooklyn Nets,Los Angeles Clippers
Washington Wizards,Los Angeles Lakers,9,Washington Wizards,Los Angeles Lakers
New Orleans Pelicans,Toronto Raptors,9,New Orleans Pelicans,Toronto Raptors
Boston Celtics,Golden State Warriors,9,Boston Celtics,Golden State Warriors
Cleveland Cavaliers,San Antonio Spurs,9,Cleveland Cavaliers,San Antonio Spurs
Minnesota Timberwolves,Memphis Grizzlies,9,Minnesota Timberwolves,Memphis Grizzlies
Milwaukee Bucks,Los Angeles Clippers,9,Milwaukee Bucks,Los Angeles Clippers
Cleveland Cavaliers,Los Angeles Lakers,9,Cleveland Cavaliers,Los Angeles Lakers
Oklahoma City Thunder,Houston Rockets,9,Oklahoma City Thunder,Houston Rockets
New York Knicks,Orlando Magic,9,New York Knicks,Orlando Magic
Washington Wizards,Portland Trail Blazers,9,Washington Wizards,Portland Trail Blazers
Golden State Warriors,Brooklyn Nets,9,Golden State Warriors,Brooklyn Nets
Houston Rockets,Los Angeles Lakers,9,Houston Rockets,Los Angeles Lakers
Milwaukee Bucks,San Antonio Spurs,8,Milwaukee Bucks,San Antonio Spurs
Toronto Raptors,Detroit Pistons,8,Toronto Raptors,Detroit Pistons
Utah Jazz,Atlanta Hawks,8,Utah Jazz,Atlanta Hawks
Brooklyn Nets,Memphis Grizzlies,8,Brooklyn Nets,Memphis Grizzlies
Chicago Bulls,Houston Rockets,8,Chicago Bulls,Houston Rockets
Memphis Grizzlies,Sacramento Kings,8,Memphis Grizzlies,Sacramento Kings
Milwaukee Bucks,Miami Heat,8,Milwaukee Bucks,Miami Heat
Indiana Pacers,Chicago Bulls,8,Indiana Pacers,Chicago Bulls
Cleveland Cavaliers,Houston Rockets,8,Cleveland Cavaliers,Houston Rockets
Golden State Warriors,Utah Jazz,8,Golden State Warriors,Utah Jazz
Miami Heat,Dallas Mavericks,8,Miami Heat,Dallas Mavericks
New York Knicks,Oklahoma City Thunder,8,New York Knicks,Oklahoma City Thunder
Orlando Magic,Denver Nuggets,8,Orlando Magic,Denver Nuggets
Chicago Bulls,Oklahoma City Thunder,8,Chicago Bulls,Oklahoma City Thunder
Cleveland Cavaliers,Los Angeles Clippers,8,Cleveland Cavaliers,Los Angeles Clippers
Miami Heat,Denver Nuggets,8,Miami Heat,Denver Nuggets
Philadelphia 76ers,San Antonio Spurs,8,Philadelphia 76ers,San Antonio Spurs
New Orleans Pelicans,Los Angeles Clippers,8,New Orleans Pelicans,Los Angeles Clippers
Denver Nuggets,Miami Heat,8,Denver Nuggets,Miami Heat
Chicago Bulls,Brooklyn Nets,8,Chicago Bulls,Brooklyn Nets
Cleveland Cavaliers,Brooklyn Nets,8,Cleveland Cavaliers,Brooklyn Nets
Denver Nuggets,Minnesota Timberwolves,8,Denver Nuggets,Minnesota Timberwolves
Milwaukee Bucks,Memphis Grizzlies,8,Milwaukee Bucks,Memphis Grizzlies
Charlotte Bobcats,Los Angeles Lakers,8,Charlotte Bobcats,Los Angeles Lakers
Miami Heat,San Antonio Spurs,8,Miami Heat,San Antonio Spurs
Houston Rockets,Philadelphia 76ers,8,Houston Rockets,Philadelphia 76ers
Detroit Pistons,Los Angeles Clippers,8,Detroit Pistons,Los Angeles Clippers
Boston Celtics,Portland Trail Blazers,8,Boston Celtics,Portland Trail Blazers
Washington Wizards,San Antonio Spurs,8,Washington Wizards,San Antonio Spurs
Boston Celtics,Minnesota Timberwolves,8,Boston Celtics,Minnesota Timberwolves
Detroit Pistons,Phoenix Suns,8,Detroit Pistons,Phoenix Suns
Minnesota Timberwolves,Miami Heat,8,Minnesota Timberwolves,Miami Heat
Sacramento Kings,Miami Heat,8,Sacramento Kings,Miami Heat
New Orleans Pelicans,Miami Heat,8,New Orleans Pelicans,Miami Heat
Cleveland Cavaliers,Golden State Warriors,8,Cleveland Cavaliers,Golden State Warriors
Houston Rockets,Dallas Mavericks,8,Houston Rockets,Dallas Mavericks
Orlando Magic,Detroit Pistons,7,Orlando Magic,Detroit Pistons
Washington Wizards,Oklahoma City Thunder,7,Washington Wizards,Oklahoma City Thunder
Atlanta Hawks,Utah Jazz,7,Atlanta Hawks,Utah Jazz
Dallas Mavericks,Brooklyn Nets,7,Dallas Mavericks,Brooklyn Nets
New York Knicks,San Antonio Spurs,7,New York Knicks,San Antonio Spurs
Charlotte Bobcats,Detroit Pistons,7,Charlotte Bobcats,Detroit Pistons
Oklahoma City Thunder,Brooklyn Nets,7,Oklahoma City Thunder,Brooklyn Nets
Dallas Mavericks,Los Angeles Lakers,7,Dallas Mavericks,Los Angeles Lakers
Charlotte Bobcats,Milwaukee Bucks,7,Charlotte Bobcats,Milwaukee Bucks
Dallas Mavericks,Los Angeles Clippers,7,Dallas Mavericks,Los Angeles Clippers
Utah Jazz,Indiana Pacers,7,Utah Jazz,Indiana Pacers
Miami Heat,New York Knicks,7,Miami Heat,New York Knicks
Phoenix Suns,Portland Trail Blazers,7,Phoenix Suns,Portland Trail Blazers
Los Angeles Clippers,New Orleans Pelicans,7,Los Angeles Clippers,New Orleans Pelicans
Los Angeles Clippers,Milwaukee Bucks,7,Los Angeles Clippers,Milwaukee Bucks
Houston Rockets,Sacramento Kings,7,Houston Rockets,Sacramento Kings
Toronto Raptors,New York Knicks,7,Toronto Raptors,New York Knicks
New York Knicks,Houston Rockets,7,New York Knicks,Houston Rockets
New Orleans Pelicans,Atlanta Hawks,7,New Orleans Pelicans,Atlanta Hawks
Brooklyn Nets,Minnesota Timberwolves,7,Brooklyn Nets,Minnesota Timberwolves
Denver Nuggets,Golden State Warriors,7,Denver Nuggets,Golden State Warriors
Denver Nuggets,Toronto Raptors,7,Denver Nuggets,Toronto Raptors
Minnesota Timberwolves,Milwaukee Bucks,7,Minnesota Timberwolves,Milwaukee Bucks
Miami Heat,Los Angeles Lakers,7,Miami Heat,Los Angeles Lakers
Cleveland Cavaliers,Utah Jazz,7,Cleveland Cavaliers,Utah Jazz
Minnesota Timberwolves,Los Angeles Clippers,7,Minnesota Timberwolves,Los Angeles Clippers
Minnesota Timberwolves,Los Angeles Lakers,7,Minnesota Timberwolves,Los Angeles Lakers
Denver Nuggets,Washington Wizards,7,Denver Nuggets,Washington Wizards
Los Angeles Lakers,Washington Wizards,7,Los Angeles Lakers,Washington Wizards
Phoenix Suns,San Antonio Spurs,7,Phoenix Suns,San Antonio Spurs
Dallas Mavericks,Milwaukee Bucks,7,Dallas Mavericks,Milwaukee Bucks
Charlotte Bobcats,Los Angeles Clippers,7,Charlotte Bobcats,Los Angeles Clippers
Milwaukee Bucks,Brooklyn Nets,7,Milwaukee Bucks,Brooklyn Nets
New York Knicks,Detroit Pistons,7,New York Knicks,Detroit Pistons
Phoenix Suns,Toronto Raptors,7,Phoenix Suns,Toronto Raptors
Philadelphia 76ers,Los Angeles Lakers,7,Philadelphia 76ers,Los Angeles Lakers
Los Angeles Clippers,Chicago Bulls,7,Los Angeles Clippers,Chicago Bulls
Utah Jazz,Toronto Raptors,7,Utah Jazz,Toronto Raptors
Phoenix Suns,Miami Heat,7,Phoenix Suns,Miami Heat
Memphis Grizzlies,Brooklyn Nets,7,Memphis Grizzlies,Brooklyn Nets
Minnesota Timberwolves,Oklahoma City Thunder,7,Minnesota Timberwolves,Oklahoma City Thunder
Memphis Grizzlies,Philadelphia 76ers,7,Memphis Grizzlies,Philadelphia 76ers
Indiana Pacers,Philadelphia 76ers,7,Indiana Pacers,Philadelphia 76ers
Boston Celtics,San Antonio Spurs,7,Boston Celtics,San Antonio Spurs
Chicago Bulls,Cleveland Cavaliers,6,Chicago Bulls,Cleveland Cavaliers
Miami Heat,Boston Celtics,6,Miami Heat,Boston Celtics
Detroit Pistons,Memphis Grizzlies,6,Detroit Pistons,Memphis Grizzlies
Oklahoma City Thunder,Los Angeles Lakers,6,Oklahoma City Thunder,Los Angeles Lakers
Brooklyn Nets,Atlanta Hawks,6,Brooklyn Nets,Atlanta Hawks
Atlanta Hawks,Brooklyn Nets,6,Atlanta Hawks,Brooklyn Nets
Atlanta Hawks,Philadelphia 76ers,6,Atlanta Hawks,Philadelphia 76ers
Minnesota Timberwolves,Toronto Raptors,6,Minnesota Timberwolves,Toronto Raptors
Golden State Warriors,Philadelphia 76ers,6,Golden State Warriors,Philadelphia 76ers
New York Knicks,Brooklyn Nets,6,New York Knicks,Brooklyn Nets
Indiana Pacers,Los Angeles Clippers,6,Indiana Pacers,Los Angeles Clippers
San Antonio Spurs,Dallas Mavericks,6,San Antonio Spurs,Dallas Mavericks
Los Angeles Clippers,Orlando Magic,6,Los Angeles Clippers,Orlando Magic
Golden State Warriors,Miami Heat,6,Golden State Warriors,Miami Heat
Brooklyn Nets,Los Angeles Lakers,6,Brooklyn Nets,Los Angeles Lakers
Charlotte Bobcats,New York Knicks,6,Charlotte Bobcats,New York Knicks
Charlotte Bobcats,Indiana Pacers,6,Charlotte Bobcats,Indiana Pacers
Los Angeles Clippers,Oklahoma City Thunder,6,Los Angeles Clippers,Oklahoma City Thunder
Philadelphia 76ers,New Orleans Pelicans,6,Philadelphia 76ers,New Orleans Pelicans
Phoenix Suns,Boston Celtics,6,Phoenix Suns,Boston Celtics
San Antonio Spurs,Chicago Bulls,6,San Antonio Spurs,Chicago Bulls
Los Angeles Clippers,Miami Heat,6,Los Angeles Clippers,Miami Heat
Toronto Raptors,Denver Nuggets,6,Toronto Raptors,Denver Nuggets
Golden State Warriors,Milwaukee Bucks,6,Golden State Warriors,Milwaukee Bucks
Los Angeles Lakers,Miami Heat,6,Los Angeles Lakers,Miami Heat
Atlanta Hawks,Chicago Bulls,6,Atlanta Hawks,Chicago Bulls
Memphis Grizzlies,Boston Celtics,6,Memphis Grizzlies,Boston Celtics
Brooklyn Nets,Golden State Warriors,6,Brooklyn Nets,Golden State Warriors
New Orleans Pelicans,Brooklyn Nets,6,New Orleans Pelicans,Brooklyn Nets
Utah Jazz,San Antonio Spurs,6,Utah Jazz,San Antonio Spurs
Denver Nuggets,New York Knicks,6,Denver Nuggets,New York Knicks
Houston Rockets,Minnesota Timberwolves,6,Houston Rockets,Minnesota Timberwolves
Phoenix Suns,Dallas Mavericks,6,Phoenix Suns,Dallas Mavericks
Brooklyn Nets,Washington Wizards,6,Brooklyn Nets,Washington Wizards
New Orleans Pelicans,San Antonio Spurs,6,New Orleans Pelicans,San Antonio Spurs
New York Knicks,Los Angeles Clippers,6,New York Knicks,Los Angeles Clippers
Orlando Magic,New York Knicks,6,Orlando Magic,New York Knicks
New York Knicks,Memphis Grizzlies,6,New York Knicks,Memphis Grizzlies
Detroit Pistons,Dallas Mavericks,6,Detroit Pistons,Dallas Mavericks
Sacramento Kings,Houston Rockets,6,Sacramento Kings,Houston Rockets
Brooklyn Nets,Toronto Raptors,6,Brooklyn Nets,Toronto Raptors
Boston Celtics,New Orleans Pelicans,6,Boston Celtics,New Orleans Pelicans
Phoenix Suns,Memphis Grizzlies,6,Phoenix Suns,Memphis Grizzlies
Washington Wizards,New York Knicks,6,Washington Wizards,New York Knicks
Milwaukee Bucks,Orlando Magic,6,Milwaukee Bucks,Orlando Magic
Los Angeles Clippers,Minnesota Timberwolves,6,Los Angeles Clippers,Minnesota Timberwolves
Oklahoma City Thunder,Minnesota Timberwolves,6,Oklahoma City Thunder,Minnesota Timberwolves
Cleveland Cavaliers,Indiana Pacers,6,Cleveland Cavaliers,Indiana Pacers
Golden State Warriors,Cleveland Cavaliers,6,Golden State Warriors,Cleveland Cavaliers
Los Angeles Lakers,Dallas Mavericks,6,Los Angeles Lakers,Dallas Mavericks
Golden State Warriors,Memphis Grizzlies,6,Golden State Warriors,Memphis Grizzlies
Sacramento Kings,Golden State Warriors,6,Sacramento Kings,Golden State Warriors
Memphis Grizzlies,Houston Rockets,6,Memphis Grizzlies,Houston Rockets
Toronto Raptors,San Antonio Spurs,6,Toronto Raptors,San Antonio Spurs
Portland Trail Blazers,Philadelphia 76ers,6,Portland Trail Blazers,Philadelphia 76ers
Washington Wizards,Atlanta Hawks,6,Washington Wizards,Atlanta Hawks
Utah Jazz,Dallas Mavericks,5,Utah Jazz,Dallas Mavericks
Chicago Bulls,Atlanta Hawks,5,Chicago Bulls,Atlanta Hawks
New York Knicks,Dallas Mavericks,5,New York Knicks,Dallas Mavericks
Memphis Grizzlies,Denver Nuggets,5,Memphis Grizzlies,Denver Nuggets
Miami Heat,Washington Wizards,5,Miami Heat,Washington Wizards
Detroit Pistons,Orlando Magic,5,Detroit Pistons,Orlando Magic
Toronto Raptors,Dallas Mavericks,5,Toronto Raptors,Dallas Mavericks
Brooklyn Nets,Utah Jazz,5,Brooklyn Nets,Utah Jazz
Miami Heat,Portland Trail Blazers,5,Miami Heat,Portland Trail Blazers
Boston Celtics,Oklahoma City Thunder,5,Boston Celtics,Oklahoma City Thunder
Chicago Bulls,New York Knicks,5,Chicago Bulls,New York Knicks
Portland Trail Blazers,Utah Jazz,5,Portland Trail Blazers,Utah Jazz
Indiana Pacers,Miami Heat,5,Indiana Pacers,Miami Heat
Los Angeles Lakers,San Antonio Spurs,5,Los Angeles Lakers,San Antonio Spurs
Charlotte Bobcats,Brooklyn Nets,5,Charlotte Bobcats,Brooklyn Nets
Philadelphia 76ers,Los Angeles Clippers,5,Philadelphia 76ers,Los Angeles Clippers
Utah Jazz,Chicago Bulls,5,Utah Jazz,Chicago Bulls
Dallas Mavericks,Indiana Pacers,5,Dallas Mavericks,Indiana Pacers
Toronto Raptors,Minnesota Timberwolves,5,Toronto Raptors,Minnesota Timberwolves
Washington Wizards,Golden State Warriors,5,Washington Wizards,Golden State Warriors
Sacramento Kings,Minnesota Timberwolves,5,Sacramento Kings,Minnesota Timberwolves
Dallas Mavericks,Utah Jazz,5,Dallas Mavericks,Utah Jazz
Indiana Pacers,Charlotte Bobcats,5,Indiana Pacers,Charlotte Bobcats
Cleveland Cavaliers,Portland Trail Blazers,5,Cleveland Cavaliers,Portland Trail Blazers
San Antonio Spurs,Indiana Pacers,5,San Antonio Spurs,Indiana Pacers
Golden State Warriors,Los Angeles Lakers,5,Golden State Warriors,Los Angeles Lakers
Milwaukee Bucks,Chicago Bulls,5,Milwaukee Bucks,Chicago Bulls
Toronto Raptors,New Orleans Pelicans,5,Toronto Raptors,New Orleans Pelicans
Los Angeles Lakers,Philadelphia 76ers,5,Los Angeles Lakers,Philadelphia 76ers
New Orleans Pelicans,Boston Celtics,5,New Orleans Pelicans,Boston Celtics
Brooklyn Nets,Denver Nuggets,5,Brooklyn Nets,Denver Nuggets
Denver Nuggets,Brooklyn Nets,5,Denver Nuggets,Brooklyn Nets
Boston Celtics,Chicago Bulls,5,Boston Celtics,Chicago Bulls
Memphis Grizzlies,Dallas Mavericks,5,Memphis Grizzlies,Dallas Mavericks
Boston Celtics,Dallas Mavericks,5,Boston Celtics,Dallas Mavericks
New Orleans Pelicans,Minnesota Timberwolves,5,New Orleans Pelicans,Minnesota Timberwolves
Minnesota Timberwolves,Phoenix Suns,5,Minnesota Timberwolves,Phoenix Suns
Los Angeles Lakers,Toronto Raptors,5,Los Angeles Lakers,Toronto Raptors
San Antonio Spurs,Los Angeles Lakers,5,San Antonio Spurs,Los Angeles Lakers
Portland Trail Blazers,New Orleans Pelicans,5,Portland Trail Blazers,New Orleans Pelicans
Utah Jazz,Los Angeles Clippers,5,Utah Jazz,Los Angeles Clippers
Los Angeles Clippers,Brooklyn Nets,5,Los Angeles Clippers,Brooklyn Nets
Indiana Pacers,Brooklyn Nets,5,Indiana Pacers,Brooklyn Nets
Indiana Pacers,Boston Celtics,5,Indiana Pacers,Boston Celtics
Minnesota Timberwolves,Charlotte Bobcats,5,Minnesota Timberwolves,Charlotte Bobcats
Indiana Pacers,Cleveland Cavaliers,5,Indiana Pacers,Cleveland Cavaliers
Detroit Pistons,Miami Heat,5,Detroit Pistons,Miami Heat
Milwaukee Bucks,Phoenix Suns,5,Milwaukee Bucks,Phoenix Suns
Sacramento Kings,Los Angeles Clippers,5,Sacramento Kings,Los Angeles Clippers
Dallas Mavericks,Detroit Pistons,5,Dallas Mavericks,Detroit Pistons
Detroit Pistons,Atlanta Hawks,5,Detroit Pistons,Atlanta Hawks
Denver Nuggets,Boston Celtics,5,Denver Nuggets,Boston Celtics
New Orleans Pelicans,Phoenix Suns,5,New Orleans Pelicans,Phoenix Suns
Brooklyn Nets,Sacramento Kings,5,Brooklyn Nets,Sacramento Kings
Los Angeles Clippers,Sacramento Kings,5,Los Angeles Clippers,Sacramento Kings
Chicago Bulls,Denver Nuggets,5,Chicago Bulls,Denver Nuggets
Los Angeles Clippers,Cleveland Cavaliers,5,Los Angeles Clippers,Cleveland Cavaliers
Philadelphia 76ers,Houston Rockets,5,Philadelphia 76ers,Houston Rockets
Houston Rockets,Phoenix Suns,5,Houston Rockets,Phoenix Suns
Toronto Raptors,Phoenix Suns,5,Toronto Raptors,Phoenix Suns
Los Angeles Lakers,Phoenix Suns,5,Los Angeles Lakers,Phoenix Suns
Denver Nuggets,Oklahoma City Thunder,5,Denver Nuggets,Oklahoma City Thunder
New York Knicks,Milwaukee Bucks,5,New York Knicks,Milwaukee Bucks
Sacramento Kings,Dallas Mavericks,5,Sacramento Kings,Dallas Mavericks
New York Knicks,Washington Wizards,4,New York Knicks,Washington Wizards
Golden State Warriors,Atlanta Hawks,4,Golden State Warriors,Atlanta Hawks
Brooklyn Nets,Miami Heat,4,Brooklyn Nets,Miami Heat
Orlando Magic,Memphis Grizzlies,4,Orlando Magic,Memphis Grizzlies
Houston Rockets,Los Angeles Clippers,4,Houston Rockets,Los Angeles Clippers
Houston Rockets,Orlando Magic,4,Houston Rockets,Orlando Magic
Golden State Warriors,Los Angeles Clippers,4,Golden State Warriors,Los Angeles Clippers
New Orleans Pelicans,Philadelphia 76ers,4,New Orleans Pelicans,Philadelphia 76ers
Orlando Magic,Miami Heat,4,Orlando Magic,Miami Heat
Los Angeles Lakers,Atlanta Hawks,4,Los Angeles Lakers,Atlanta Hawks
New York Knicks,Phoenix Suns,4,New York Knicks,Phoenix Suns
Orlando Magic,Brooklyn Nets,4,Orlando Magic,Brooklyn Nets
Atlanta Hawks,Houston Rockets,4,Atlanta Hawks,Houston Rockets
Golden State Warriors,Dallas Mavericks,4,Golden State Warriors,Dallas Mavericks
Dallas Mavericks,Minnesota Timberwolves,4,Dallas Mavericks,Minnesota Timberwolves
Oklahoma City Thunder,Memphis Grizzlies,4,Oklahoma City Thunder,Memphis Grizzlies
Toronto Raptors,Orlando Magic,4,Toronto Raptors,Orlando Magic
Denver Nuggets,Dallas Mavericks,4,Denver Nuggets,Dallas Mavericks
Atlanta Hawks,Orlando Magic,4,Atlanta Hawks,Orlando Magic
Orlando Magic,Boston Celtics,4,Orlando Magic,Boston Celtics
Charlotte Bobcats,Memphis Grizzlies,4,Charlotte Bobcats,Memphis Grizzlies
Boston Celtics,New York Knicks,4,Boston Celtics,New York Knicks
Los Angeles Lakers,Minnesota Timberwolves,4,Los Angeles Lakers,Minnesota Timberwolves
Los Angeles Lakers,New York Knicks,4,Los Angeles Lakers,New York Knicks
Portland Trail Blazers,Oklahoma City Thunder,4,Portland Trail Blazers,Oklahoma City Thunder
San Antonio Spurs,Milwaukee Bucks,4,San Antonio Spurs,Milwaukee Bucks
Dallas Mavericks,Boston Celtics,4,Dallas Mavericks,Boston Celtics
Los Angeles Lakers,Sacramento Kings,4,Los Angeles Lakers,Sacramento Kings
Chicago Bulls,Charlotte Bobcats,4,Chicago Bulls,Charlotte Bobcats
San Antonio Spurs,Miami Heat,4,San Antonio Spurs,Miami Heat
Indiana Pacers,Dallas Mavericks,4,Indiana Pacers,Dallas Mavericks
Washington Wizards,Dallas Mavericks,4,Washington Wizards,Dallas Mavericks
Oklahoma City Thunder,Chicago Bulls,4,Oklahoma City Thunder,Chicago Bulls
Toronto Raptors,Los Angeles Lakers,4,Toronto Raptors,Los Angeles Lakers
Houston Rockets,Washington Wizards,4,Houston Rockets,Washington Wizards
Milwaukee Bucks,Los Angeles Lakers,4,Milwaukee Bucks,Los Angeles Lakers
Denver Nuggets,Atlanta Hawks,4,Denver Nuggets,Atlanta Hawks
Denver Nuggets,Los Angeles Lakers,4,Denver Nuggets,Los Angeles Lakers
New Orleans Pelicans,Golden State Warriors,4,New Orleans Pelicans,Golden State Warriors
Brooklyn Nets,Phoenix Suns,4,Brooklyn Nets,Phoenix Suns
San Antonio Spurs,Phoenix Suns,4,San Antonio Spurs,Phoenix Suns
Indiana Pacers,Houston Rockets,4,Indiana Pacers,Houston Rockets
Utah Jazz,Cleveland Cavaliers,4,Utah Jazz,Cleveland Cavaliers
Houston Rockets,Indiana Pacers,4,Houston Rockets,Indiana Pacers
Portland Trail Blazers,Denver Nuggets,4,Portland Trail Blazers,Denver Nuggets
Memphis Grizzlies,Toronto Raptors,4,Memphis Grizzlies,Toronto Raptors
